,classname,# true positives,# false positives,# false negatives
0,01-lighthouse,2.0,0.0,0.0
1,03-bridge-1,4.0,0.0,0.0
2,04-bridge,1.0,0.0,0.0
3,05-silo,2.0,0.0,0.0
4,06-church,6.0,0.0,0.0
5,07-supermarket,3.0,1.0,0.0
6,08-courthouse,2.0,0.0,1.0
7,09-airport,0.0,0.0,3.0
8,10-bench,3.0,0.0,0.0
9,11-trash,1.0,0.0,0.0
10,12-bus,2.0,0.0,0.0
11,15-barn,1.0,0.0,0.0
12,19-prison,1.0,0.0,0.0
13,20-atm,3.0,0.0,0.0
14,21-solar-panel,2.0,0.0,0.0
15,23-traffic-light,1.0,0.0,0.0
16,24-fountain,2.0,0.0,0.0
17,25-factory,2.0,0.0,0.0
18,26-shop,1.0,0.0,0.0
19,27-gas-station,4.0,0.0,0.0
20,28-government,3.0,0.0,0.0
21,29-theater,1.0,0.0,0.0
22,31-field,2.0,0.0,0.0
23,32-van,1.0,0.0,0.0
24,33-hydrant,2.0,0.0,0.0
25,34-billboard,2.0,0.0,0.0
26,35-police,2.0,0.0,0.0
27,36-hotel,2.0,0.0,0.0
28,37-post-office,3.0,0.0,0.0
29,38-library,0.0,0.0,1.0
30,41-windmill,1.0,0.0,0.0
31,42-tractor,3.0,0.0,0.0
32,43-sign,2.0,1.0,2.0
33,44-ferris-wheel,2.0,0.0,0.0
34,45-museum,2.0,0.0,0.0
35,46-fire-station,1.0,0.0,0.0
36,47-restaurant,2.0,0.0,0.0
37,49-school,1.0,0.0,0.0
38,50-cemetery,3.0,0.0,0.0
