,classname,accuracy,true positive rate,false positive rate,false negative rate
0,01-lighthouse,1.0,1.0,0.0,0.0
1,03-bridge-1,0.75,0.75,0.0,0.25
2,04-bridge,1.0,1.0,0.0,0.0
3,05-silo,1.0,1.0,0.0,0.0
4,06-church,1.0,1.0,0.0,0.0
5,07-supermarket,1.0,1.0,0.0,0.0
6,08-courthouse,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
7,09-airport,0.0,0.0,0.011363636363636364,1.0
8,10-bench,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
9,11-trash,1.0,1.0,0.0,0.0
10,12-bus,0.5,0.5,0.0,0.5
11,15-barn,1.0,1.0,0.0,0.0
12,19-prison,1.0,1.0,0.0,0.0
13,20-atm,1.0,1.0,0.0,0.0
14,21-solar-panel,1.0,1.0,0.0,0.0
15,23-traffic-light,1.0,1.0,0.0,0.0
16,24-fountain,1.0,1.0,0.0,0.0
17,25-factory,1.0,1.0,0.0,0.0
18,26-shop,1.0,1.0,0.0,0.0
19,27-gas-station,0.5,0.5,0.0,0.5
20,28-government,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
21,29-theater,1.0,1.0,0.0,0.0
22,31-field,1.0,1.0,0.0,0.0
23,32-van,1.0,1.0,0.0,0.0
24,33-hydrant,1.0,1.0,0.0,0.0
25,34-billboard,0.5,0.5,0.0,0.5
26,35-police,1.0,1.0,0.0,0.0
27,36-hotel,1.0,1.0,0.0,0.0
28,37-post-office,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
29,38-library,1.0,1.0,0.0,0.0
30,41-windmill,0.0,0.0,0.0,1.0
31,42-tractor,1.0,1.0,0.0,0.0
32,43-sign,0.6,0.6,0.0,0.4
33,44-ferris-wheel,1.0,1.0,0.0,0.0
34,45-museum,1.0,1.0,0.0,0.0
35,46-fire-station,1.0,1.0,0.0,0.0
36,47-restaurant,0.5,0.5,0.0,0.5
37,49-school,1.0,1.0,0.0,0.0
38,50-cemetery,1.0,1.0,0.0,0.0
